Device,Month,Sessions,Select Page,Checkout Page,Conversion Rate
mobile,202101,"8,469","2,959",407,2.05%
desktop,202101,"2,788",988,233,4.16%
mobile,202102,"7,751","2,930",428,3.15%
desktop,202102,"7,417","2,690",408,2.19%
mobile,202103,"17,247","8,541",913,1.92%
desktop,202103,"5,694","2,212",388,3.88%
mobile,202104,"25,060","11,431","1,612",2.04%
desktop,202104,"11,972","4,561",570,2.85%
mobile,202105,"19,643","7,701",701,2.94%
desktop,202105,"14,337","5,453",741,2.35%
tablet,202105,720,336,49,6.68%
mobile,202106,"35,541","13,168","1,662",2.34%
desktop,202106,"21,979","11,451","2,125",2.52%
mobile,202107,"54,701","14,872","1,988",1.08%
desktop,202107,"6,854","3,580",699,5.73%
mobile,202108,"22,136","10,261","1,325",2.94%
desktop,202108,"6,662","3,233",690,6.51%
mobile,202109,"32,068","14,865","1,859",2.15%
desktop,202109,"15,653","7,801","1,275",2.93%
mobile,202110,"19,177","8,484","1,520",2.74%
desktop,202110,"7,211","3,557",603,4.85%
mobile,202111,"51,790","22,967","2,929",2.22%
desktop,202111,"24,691","11,245","1,723",3.10%
mobile,202112,"84,483","35,961","4,474",1.74%
desktop,202112,"28,873","10,566","1,790",2.97%
tablet,202112,"6,587","2,573",382,1.86%
